geoid,name,state,pop,zone,zoneName,zonePlaces,zoneRank,zonePercentile,structuralZoneRank,mechanismScore,structuralScore,historicalPersistenceScore,valuationGap,confidence,flowContradiction,tags
4807408,Bellmead city,TX,10550,484,"Killeen, TX",71,3,,14,0.828,0.211,1.609,0.686,high,0,
1266000,Siesta Key CDP,FL,5690,79,"Bradenton--Sarasota--Venice, FL",58,1,,3,0.902,1.544,2.403,0.211,high,1,Amenity Destination; Aging Trap
1241150,Longboat Key town,FL,7512,79,"Bradenton--Sarasota--Venice, FL",58,2,,1,0.896,2.009,2.023,0.706,high,0,Amenity Destination
1214700,Cortez CDP,FL,5323,79,"Bradenton--Sarasota--Venice, FL",58,3,,14,0.699,1.011,0.391,-0.954,high,0,Amenity Destination
3438580,Lakewood CDP,NJ,69884,348,"Toms River CDP, NJ",105,1,,27,1.064,1.904,1.118,0.047,high,0,
3406970,Bradley Beach borough,NJ,4264,348,"Toms River CDP, NJ",105,2,,5,1.014,2.328,0.104,0.118,high,1,Amenity Destination
3422740,Fairview CDP,NJ,3950,348,"Toms River CDP, NJ",105,3,,30,0.981,1.853,-0.755,1.894,high,0,
0636868,Isla Vista CDP,CA,13717,53,"Santa Barbara, CA",49,1,,5,1.561,1.615,2.488,-4.211,medium,1,Knowledge Center
0668154,San Luis Obispo city,CA,48039,53,"Santa Barbara, CA",49,2,,11,0.71,1.094,0.173,-1.846,high,0,Knowledge Center; Regional Service Center
0612132,Cayucos CDP,CA,2517,53,"Santa Barbara, CA",49,3,,27,0.31,0.432,2.734,-2.542,medium,0,Amenity Destination; Aging Trap
1851912,Munster town,IN,23733,154,"Hammond city, IN",58,1,,5,0.859,1.312,-0.775,1.569,high,0,
1841535,Lake Station city,IN,13109,154,"Hammond city, IN",58,2,,33,0.853,0.346,-0.344,0.886,high,1,
1831000,Hammond city,IN,77098,154,"Hammond city, IN",58,3,,23,0.835,0.6,-0.073,0.881,high,1,
1921000,Des Moines city,IA,212464,155,"Des Moines, IA",71,1,,14,0.862,0.369,0.102,0.633,high,0,
1933105,Grinnell city,IA,9527,155,"Des Moines, IA",71,2,,8,0.858,0.606,-0.574,0.991,high,0,Knowledge Center
1979950,Urbandale city,IA,46026,155,"Des Moines, IA",71,3,,6,0.851,0.639,-0.464,1.024,high,0,
3680863,West Sand Lake CDP,NY,3453,358,"Albany--Schenectady, NY",126,1,,42,0.847,0.493,-0.604,0.957,high,0,
3665893,Scotia village,NY,7260,358,"Albany--Schenectady, NY",126,2,,37,0.817,0.526,-0.697,0.76,high,1,
3683349,Wynantskill CDP,NY,3675,358,"Albany--Schenectady, NY",126,3,,40,0.817,0.513,-0.536,0.961,high,0,Government Hub
5517175,Cottage Grove village,WI,7906,555,"Madison, WI",88,1,,8,0.83,1.039,-0.682,1.171,high,0,
5549575,Marshall village,WI,3806,555,"Madison, WI",88,2,,13,0.73,0.528,-0.207,0.292,high,0,
5506300,Belleville village,WI,2628,555,"Madison, WI",88,3,,20,0.697,0.343,-0.71,0.194,high,0,
0828360,Frederick town,CO,15893,66,"Fort Collins, CO",38,1,,16,0.734,0.386,-0.852,0.197,high,0,
0839855,Johnstown town,CO,18075,66,"Fort Collins, CO",38,2,,17,0.722,0.375,-0.995,0.248,high,0,
0850480,Milliken town,CO,8695,66,"Fort Collins, CO",38,3,,19,0.646,0.355,-0.935,-0.015,high,0,
0544600,Maumelle city,AR,19286,30,"Little Rock, AR",55,1,,3,0.842,0.762,-0.863,1.069,high,0,
0563470,Shannon Hills city,AR,4557,30,"Little Rock, AR",55,2,,10,0.825,0.248,-0.512,0.876,high,0,
0505290,Benton city,AR,35954,30,"Little Rock, AR",55,3,,16,0.822,0.04,-0.735,0.255,high,0,
2061250,Rose Hill city,KS,4353,180,"Wichita, KS",50,1,,8,0.881,0.431,-0.841,1.061,high,0,
2031125,Haysville city,KS,11117,180,"Wichita, KS",50,2,,29,0.85,-0.301,-0.728,0.198,high,0,
2017800,Derby city,KS,25801,180,"Wichita, KS",50,3,,9,0.848,0.294,-0.862,0.507,high,0,
1216550,Daytona Beach Shores city,FL,5139,84,"Daytona Beach--Palm Coast--Port Orange, FL",28,1,,1,0.918,1.181,1.636,0.486,high,0,Amenity Destination; Aging Trap
1217200,Deltona city,FL,95682,84,"Daytona Beach--Palm Coast--Port Orange, FL",28,2,,8,0.712,0.602,0.224,0.395,high,0,
1216875,DeLand city,FL,39832,84,"Daytona Beach--Palm Coast--Port Orange, FL",28,3,,2,0.686,0.926,-0.001,0.5,high,0,
4529815,Goose Creek city,SC,46964,451,"Charleston, SC",36,1,,13,0.752,0.181,-0.489,0.193,high,0,Military Anchor
4539220,Ladson CDP,SC,16261,451,"Charleston, SC",36,2,,16,0.724,0.074,-0.275,0.003,high,0,
4547275,Moncks Corner town,SC,14362,451,"Charleston, SC",36,3,,18,0.693,-0.088,-0.584,-0.203,high,0,
4513015,Central town,SC,5299,448,"Greenville, SC",76,1,,4,0.867,1.002,-0.537,0.42,high,0,Knowledge Center
4514950,Clemson city,SC,17759,448,"Greenville, SC",76,2,,2,0.848,1.624,-0.973,0.081,high,0,Knowledge Center
4550290,Ninety Six town,SC,2635,448,"Greenville, SC",76,3,,44,0.819,-0.178,-0.66,0.189,high,0,
0133472,Harvest CDP,AL,6624,10,"Huntsville, AL",51,1,,6,0.822,0.122,-0.457,0.487,high,0,Government Hub
0145784,Madison city,AL,58335,10,"Huntsville, AL",51,2,,1,0.812,0.968,-0.571,1.525,high,0,
0154168,New Hope city,AL,2895,10,"Huntsville, AL",51,3,,8,0.784,0.01,-0.113,0.68,high,0,
1245465,Midway CDP,FL,20745,83,"Pensacola, FL--AL",59,1,,39,0.842,-0.023,-0.261,0.536,high,0,
1246000,Miramar Beach CDP,FL,8587,83,"Pensacola, FL--AL",59,2,,11,0.803,0.705,2.682,-0.499,high,0,Amenity Destination
1253725,Pace CDP,FL,25630,83,"Pensacola, FL--AL",59,3,,21,0.739,0.317,-0.438,0.275,high,0,
3335460,Henniker CDP,NH,2880,343,"Nashua, NH--MA",56,1,,18,0.906,0.767,-0.82,-0.376,high,0,Knowledge Center
3329780,Goffstown CDP,NH,3127,343,"Nashua, NH--MA",56,2,,11,0.808,0.947,-1.113,0.991,high,0,
3350260,Nashua city,NH,91131,343,"Nashua, NH--MA",56,3,,7,0.607,1.117,-0.3,0.4,high,0,
3684099,Yorkville village,NY,2638,362,"Syracuse, NY",108,1,,47,0.852,0.163,-0.315,0.676,high,0,
3613145,Cazenovia village,NY,2760,362,"Syracuse, NY",108,2,,5,0.847,1.338,-0.957,1.115,medium,0,Knowledge Center
3608059,Brewerton CDP,NY,4466,362,"Syracuse, NY",108,3,,37,0.831,0.306,-0.808,0.488,high,0,
3608466,Brockport village,NY,7153,368,"Rochester, NY",88,1,,10,0.979,0.886,-0.806,0.489,medium,1,Knowledge Center
3628640,Geneva city,NY,12573,368,"Rochester, NY",88,2,,21,0.87,0.63,-0.783,0.986,high,1,Knowledge Center
3634847,Hilton village,NY,5990,368,"Rochester, NY",88,3,,39,0.86,0.222,-0.709,0.377,high,0,
4850580,Nederland city,TX,18475,219,"Lake Charles, LA",73,1,,3,0.788,0.106,-0.568,0.637,high,0,
4810252,Bridge City city,TX,9549,219,"Lake Charles, LA",73,2,,14,0.747,-0.276,-0.822,1.036,high,0,
4858940,Port Neches city,TX,13627,219,"Lake Charles, LA",73,3,,6,0.718,0.046,-0.234,0.661,high,0,
1319000,Columbus city,GA,204383,7,"Columbus, GA--AL",47,1,,7,0.789,0.268,-0.007,0.711,high,0,Military Anchor
0178204,Valley city,AL,10406,7,"Columbus, GA--AL",47,2,,30,0.771,-0.493,-0.752,-0.129,high,0,
0103076,Auburn city,AL,78738,7,"Columbus, GA--AL",47,3,,1,0.693,1.242,-0.609,-0.063,high,0,Knowledge Center; Regional Service Center
4551720,Oak Grove CDP,SC,12031,450,"Columbia, SC",93,1,,13,0.831,0.325,-0.436,0.689,high,0,
4512655,Cayce city,SC,13718,450,"Columbia, SC",93,2,,17,0.789,0.22,-0.543,0.326,high,0,
4541335,Lexington town,SC,24132,450,"Columbia, SC",93,3,,6,0.788,0.647,-0.213,0.709,high,0,
3907972,Bowling Green city,OH,30051,405,"Toledo, OH--MI",72,1,,2,0.959,1.251,-0.893,0.476,high,0,Knowledge Center
3959010,Ottawa Hills village,OH,4796,405,"Toledo, OH--MI",72,2,,1,0.957,1.666,-0.945,2.71,high,0,
3976022,Sylvania city,OH,19038,405,"Toledo, OH--MI",72,3,,3,0.866,1.032,-0.911,1.288,high,0,
2328205,Gorham CDP,ME,7365,228,"Portland, ME",98,1,,6,0.812,1.037,-0.674,0.739,high,0,Knowledge Center
2380740,Waterville city,ME,16704,228,"Portland, ME",98,2,,32,0.59,0.417,-0.189,-0.226,high,0,Knowledge Center; Regional Service Center
2340000,Lisbon CDP,ME,3453,228,"Portland, ME",98,3,,55,0.48,-0.1,0.102,-0.562,high,0,Government Hub
4283856,West Pittston borough,PA,4645,447,"Scranton, PA",146,1,,44,0.835,0.582,-0.75,0.787,high,1,
4251384,Mountain Top CDP,PA,11856,447,"Scranton, PA",146,2,,28,0.829,0.723,-0.448,1.077,high,1,
4283136,West Hazleton borough,PA,5156,447,"Scranton, PA",146,3,,37,0.77,0.65,2.054,0.488,high,0,
2536335,Longmeadow CDP,MA,15724,238,"Springfield, MA--CT",30,1,,2,0.858,1.949,-0.52,2.061,high,0,
2501370,Amherst Town city,MA,35472,238,"Springfield, MA--CT",30,2,,1,0.811,2.617,-0.604,1.055,medium,0,Knowledge Center
2576030,Westfield city,MA,40673,238,"Springfield, MA--CT",30,3,,13,0.671,0.839,-0.361,0.473,high,0,
3722920,Fayetteville city,NC,209692,376,"Fayetteville, NC",75,1,,11,0.7,0.68,-0.278,0.556,high,0,Military Anchor
3732640,Hope Mills town,NC,17823,376,"Fayetteville, NC",75,2,,13,0.637,0.556,0.16,0.277,high,0,
3738220,Lillington town,NC,4683,376,"Fayetteville, NC",75,3,,17,0.577,0.36,-0.512,-0.021,medium,0,
2183550,Wilmore city,KY,6031,201,"Lexington-Fayette, KY",19,1,,1,0.667,0.934,-0.995,0.388,high,0,Knowledge Center
2144146,Lawrenceburg city,KY,11838,201,"Lexington-Fayette, KY",19,2,,8,0.665,0.095,-0.568,-0.126,high,0,
2130700,Georgetown city,KY,38206,201,"Lexington-Fayette, KY",19,3,,7,0.655,0.144,-0.808,-0.071,high,0,
1884950,Winona Lake town,IN,5073,143,"Fort Wayne, IN",68,1,,3,0.87,0.488,-0.994,0.953,high,0,Knowledge Center
1865214,Rochester city,IN,6244,143,"Fort Wayne, IN",68,2,,30,0.84,-0.346,-0.251,-0.163,high,1,
1842861,Leo-Cedarville town,IN,3670,143,"Fort Wayne, IN",68,3,,5,0.775,0.16,-0.931,0.304,high,0,
2279240,Walker town,LA,6385,226,"Baton Rouge, LA",57,1,,27,0.797,-0.181,-0.479,0.339,high,0,
2283405,Zachary city,LA,19637,226,"Baton Rouge, LA",57,2,,14,0.788,0.095,-0.83,0.57,high,0,
2200415,Addis town,LA,7052,226,"Baton Rouge, LA",57,3,,19,0.698,0.004,-1.153,1.061,high,0,
5311825,Cheney city,WA,12830,114,"Spokane, WA",63,1,,1,0.854,1.023,-0.663,-0.731,high,0,Knowledge Center
5339335,Liberty Lake city,WA,12435,114,"Spokane, WA",63,2,,7,0.43,0.265,-0.625,-0.427,high,0,
5344690,Medical Lake city,WA,4927,114,"Spokane, WA",63,3,,6,0.301,0.357,-0.211,-0.468,high,0,
1321240,Dahlonega city,GA,7194,92,"Gainesville city, GA",56,1,,9,0.761,1.176,-0.64,0.543,medium,0,Knowledge Center
1371604,Snellville city,GA,21203,92,"Gainesville city, GA",56,2,,8,0.755,1.216,0.417,1.018,high,0,
1334596,Grayson city,GA,4699,92,"Gainesville city, GA",56,3,,11,0.729,1.018,0.421,1.156,high,0,
4115800,Corvallis city,OR,60424,426,"Eugene, OR",43,1,,1,0.944,1.751,-0.486,0.019,high,0,Knowledge Center
4148300,Millersburg city,OR,3096,426,"Eugene, OR",43,2,,7,0.548,0.347,-0.211,-0.162,high,0,
4132550,Harrisburg city,OR,3675,426,"Eugene, OR",43,3,,15,0.385,-0.003,-0.214,-0.788,high,0,
0554200,Pea Ridge city,AR,7348,23,"Fayetteville--Springdale--Rogers, AR--MO",45,1,,24,0.771,-0.113,-0.471,-0.041,high,0,
0512820,Centerton city,AR,20212,23,"Fayetteville--Springdale--Rogers, AR--MO",45,2,,13,0.753,0.136,-0.915,0.521,high,0,
0523170,Farmington city,AR,8469,23,"Fayetteville--Springdale--Rogers, AR--MO",45,3,,15,0.747,0.09,-0.866,0.144,high,0,
4737820,Jasper town,TN,3610,101,"Chattanooga, TN--GA",65,1,,38,0.693,-0.594,-0.823,-0.449,high,0,
4768540,Signal Mountain town,TN,8861,101,"Chattanooga, TN--GA",65,2,,2,0.622,1.119,-0.784,0.777,high,0,
4716300,Collegedale city,TN,11185,101,"Chattanooga, TN--GA",65,3,,5,0.477,0.72,-0.761,-0.375,high,0,Knowledge Center
4760480,Powell CDP,TN,13544,464,"Knoxville, TN",53,1,,14,0.596,0.019,-0.665,-0.196,high,0,
4746380,Maryville city,TN,32196,464,"Knoxville, TN",53,2,,10,0.429,0.259,-0.573,-0.263,high,0,
4725760,Farragut town,TN,24309,464,"Knoxville, TN",53,3,,1,0.369,0.766,-0.767,0.271,high,0,
5502375,Appleton city,WI,74873,554,"Appleton, WI",90,1,,3,0.795,0.426,-0.66,0.458,high,0,
5544950,Little Chute village,WI,11930,554,"Appleton, WI",90,2,,19,0.786,0.001,-0.837,0.104,high,0,
5532790,Harrison village,WI,13345,554,"Appleton, WI",90,3,,4,0.766,0.282,-0.707,0.302,high,0,
1257950,Polk City town,FL,2884,87,"Lakeland, FL",47,1,,24,0.823,0.388,-0.549,0.62,high,0,
1230225,Highland City CDP,FL,12732,87,"Lakeland, FL",47,2,,17,0.816,0.542,-0.346,0.955,high,0,
1203675,Bartow city,FL,19801,87,"Lakeland, FL",47,3,,20,0.697,0.521,-0.334,0.314,high,0,
2676960,Sturgis city,MI,11077,151,"South Bend, IN--MI",73,1,,35,0.856,-0.122,-0.183,0.118,high,0,
1828800,Granger CDP,IN,30279,151,"South Bend, IN--MI",73,2,,5,0.851,1.103,-0.715,1.281,high,0,
1871000,South Bend city,IN,102866,151,"South Bend, IN--MI",73,3,,16,0.795,0.413,-0.245,0.525,high,1,
5175376,Sterling CDP,VA,31251,532,"Leesburg town, VA",59,1,,20,0.964,1.903,2.795,1.293,high,0,
5144984,Leesburg town,VA,48788,532,"Leesburg town, VA",59,2,,23,0.818,1.678,0.403,0.718,high,0,
5165008,Purcellville town,VA,8974,532,"Leesburg town, VA",59,3,,24,0.792,1.5,-0.352,0.74,high,0,
1984315,West Liberty city,IA,3795,160,"Cedar Rapids, IA",82,1,,13,0.883,0.245,0.536,0.525,high,0,
1954840,Mount Vernon city,IA,4551,160,"Cedar Rapids, IA",82,2,,6,0.882,0.858,-0.721,1.218,high,0,Knowledge Center
1938595,Iowa City city,IA,75264,160,"Cedar Rapids, IA",82,3,,2,0.855,1.576,-0.869,0.984,high,0,Knowledge Center; Regional Service Center
0171976,Spanish Fort city,AL,10377,2,"Mobile, AL",48,1,,5,0.731,0.169,-0.805,0.165,high,0,
0119648,Daphne city,AL,28673,2,"Mobile, AL",48,2,,4,0.72,0.181,-0.75,0.153,high,0,
0114392,Chickasaw city,AL,6367,2,"Mobile, AL",48,3,,23,0.701,-0.593,-0.116,0.35,high,0,
1373256,Statesboro city,GA,33705,98,"Savannah, GA",54,1,,10,0.853,0.365,-0.633,-0.703,high,0,Knowledge Center; Regional Service Center
1332482,Georgetown CDP,GA,11606,98,"Savannah, GA",54,2,,9,0.822,0.373,-0.436,2.091,high,0,
1311626,Buckhead CDP,GA,4640,98,"Savannah, GA",54,3,,6,0.738,0.435,-1.022,0.499,high,0,Military Anchor
1748606,Metamora village,IL,4094,125,"Peoria, IL",112,1,,1,0.856,0.95,-0.902,2.043,high,0,
1729080,Germantown Hills village,IL,3425,125,"Peoria, IL",112,2,,3,0.852,0.792,-1.021,1.821,high,0,
1723737,El Paso city,IL,2871,125,"Peoria, IL",112,3,,34,0.849,-0.083,-0.32,0.669,high,0,
4231656,Grove City borough,PA,7861,404,"Youngstown, OH",94,1,,2,0.963,1.219,-0.738,0.992,medium,1,Knowledge Center
4225360,Farrell city,PA,4239,404,"Youngstown, OH",94,2,,12,0.821,0.552,-0.031,2.269,high,1,
3911066,Campbell city,OH,7812,404,"Youngstown, OH",94,3,,25,0.796,0.197,0.034,1.106,high,1,
1770590,South Beloit city,IL,7930,124,"Rockford, IL",72,1,,13,0.866,0.487,-0.632,1.148,high,0,
1765156,Rockton village,IL,8238,124,"Rockford, IL",72,2,,6,0.86,0.602,-0.721,1.423,high,0,
1710240,Byron city,IL,3742,124,"Rockford, IL",72,3,,18,0.845,0.401,-0.738,0.694,high,0,
0203000,Anchorage municipality,AK,289069,567,"Anchorage, AK",31,1,,2,0.661,0.135,-0.134,-0.037,high,0,
0247735,Meadow Lakes CDP,AK,8994,567,"Anchorage, AK",31,2,,15,0.593,-0.601,-0.258,-0.931,high,0,
0258660,Palmer city,AK,6141,567,"Anchorage, AK",31,3,,5,0.326,-0.184,-0.611,-0.966,high,0,
0655296,Palo Cedro CDP,CA,3561,42,"Redding, CA",69,1,,9,0.53,0.198,0.189,-0.307,high,0,Government Hub
0616322,Corning city,CA,8168,42,"Redding, CA",69,2,,19,0.423,-0.055,2.099,-0.737,high,0,
0613014,Chico city,CA,102032,42,"Redding, CA",69,3,,3,0.406,0.719,-0.047,-0.465,high,0,Knowledge Center
1906355,Bettendorf city,IA,39297,136,"Davenport, IA--IL",71,1,,1,0.848,0.556,-0.775,0.936,high,0,
1924600,Eldridge city,IA,6743,136,"Davenport, IA--IL",71,2,,4,0.825,0.318,-0.855,0.549,high,0,
1765078,Rock Island city,IL,36758,136,"Davenport, IA--IL",71,3,,7,0.817,0.178,-0.269,1.24,high,1,
5377665,West Richland city,WA,17126,438,"Kennewick--Richland--Pasco, WA",42,1,,9,0.641,0.136,-0.204,-0.092,high,0,
5358235,Richland city,WA,61912,438,"Kennewick--Richland--Pasco, WA",42,2,,4,0.482,0.392,-0.43,-0.199,high,0,
4133700,Hermiston city,OR,19406,438,"Kennewick--Richland--Pasco, WA",42,3,,14,0.448,-0.136,0.873,-0.741,high,0,
1777005,Urbana city,IL,38447,127,"Champaign, IL",70,1,,1,0.916,1.785,-0.569,1.561,high,0,Knowledge Center; Regional Service Center
1753234,Normal town,IL,52908,127,"Champaign, IL",70,2,,4,0.896,1.035,-0.765,0.888,high,0,Knowledge Center; Regional Service Center
1766950,St. Joseph village,IL,3833,127,"Champaign, IL",70,3,,10,0.876,0.487,-0.624,1.425,high,0,
2844520,Madison city,MS,27775,279,"Jackson, MS",38,1,,3,0.84,0.785,-0.831,0.983,high,0,
2814420,Clinton city,MS,27418,279,"Jackson, MS",38,2,,6,0.82,0.482,-0.57,0.75,high,0,
2862400,Richland city,MS,7250,279,"Jackson, MS",38,3,,13,0.791,-0.125,-0.531,0.106,high,0,
4741200,La Vergne city,TN,38944,465,"Murfreesboro, TN",35,1,,3,0.638,0.425,0.28,0.089,high,0,
4751560,Murfreesboro city,TN,157547,465,"Murfreesboro, TN",35,2,,2,0.512,0.677,-0.648,-0.133,high,0,
4769420,Smyrna town,TN,55066,465,"Murfreesboro, TN",35,3,,6,0.502,0.312,0.105,-0.338,high,0,
4860544,Rancho Viejo town,TX,2834,493,"Brownsville, TX",46,1,,1,0.851,1.232,0.664,1.455,high,0,
4869140,South Padre Island town,TX,2852,493,"Brownsville, TX",46,2,,3,0.824,1.188,3.232,-0.036,medium,0,Amenity Destination; Aging Trap
4832372,Harlingen city,TX,71669,493,"Brownsville, TX",46,3,,13,0.809,0.606,0.279,0.695,high,0,
5186160,Williamsburg city,VA,15564,536,"Newport News city, VA",12,1,,1,0.826,1.468,-0.134,0.323,medium,0,Knowledge Center
5163768,Poquoson city,VA,12556,536,"Newport News city, VA",12,2,,4,0.75,0.643,-0.686,0.601,high,0,
5135000,Hampton city,VA,137334,536,"Newport News city, VA",12,3,,6,0.721,0.54,-0.435,0.373,high,1,Military Anchor
2979882,Willard city,MO,6418,289,"Springfield, MO",67,1,,5,0.824,0.279,-0.766,0.687,high,0,
2914788,Clever city,MO,2977,289,"Springfield, MO",67,2,,17,0.807,-0.138,-0.855,0.059,high,0,
2903592,Battlefield city,MO,6095,289,"Springfield, MO",67,3,,3,0.802,0.357,-0.808,0.556,high,0,
4222608,Edinboro borough,PA,5303,363,"Erie, PA",130,1,,3,0.853,1.092,-0.783,-0.126,high,1,Knowledge Center
4240960,Lake City borough,PA,2901,363,"Erie, PA",130,2,,49,0.791,-0.147,-0.708,0.528,high,0,
3627419,Fredonia village,NY,9601,363,"Erie, PA",130,3,,4,0.779,0.834,-0.624,0.575,high,1,Knowledge Center
3111370,Crete city,NE,7521,337,"Lincoln, NE",36,1,,7,0.875,0.278,1.52,0.631,high,0,
3132060,Milford city,NE,2656,337,"Lincoln, NE",36,2,,16,0.857,-0.131,-0.701,-0.035,high,0,
3150965,Wahoo city,NE,4885,337,"Lincoln, NE",36,3,,4,0.853,0.35,-0.799,0.568,high,0,
2624120,East Lansing city,MI,45394,249,"Lansing, MI",47,1,,2,0.999,2.016,-0.585,0.714,medium,1,Knowledge Center; Regional Service Center
2646000,Lansing city,MI,112546,249,"Lansing, MI",47,2,,10,0.888,0.591,-0.057,0.933,high,1,
2638780,Holt CDP,MI,25275,249,"Lansing, MI",47,3,,7,0.853,0.68,-0.525,1.123,high,0,
2208920,Bossier City city,LA,62832,224,"Shreveport, LA",55,1,,2,0.629,0.006,-0.235,-0.159,high,0,Military Anchor
2253545,Natchitoches city,LA,17682,224,"Shreveport, LA",55,2,,7,0.489,-0.364,-0.328,-0.885,high,0,Knowledge Center
2270000,Shreveport city,LA,183483,224,"Shreveport, LA",55,3,,4,0.459,-0.064,-0.347,0.354,high,0,
3978736,Uniontown CDP,OH,7571,401,"Canton, OH",77,1,,2,0.867,1.019,-0.829,1.332,high,0,
3958828,Orrville city,OH,8361,401,"Canton, OH",77,2,,16,0.851,0.208,-0.814,0.447,high,1,
3967356,Rittman city,OH,6033,401,"Canton, OH",77,3,,37,0.783,-0.103,-0.84,0.317,high,1,
2458225,Ocean City town,MD,6887,71,"Dover, DE",110,1,,24,0.947,0.852,3.141,-0.267,medium,1,Amenity Destination
2416225,Chestertown town,MD,5548,71,"Dover, DE",110,2,,8,0.864,1.36,-0.228,-0.221,medium,0,Knowledge Center
2475025,Stevensville CDP,MD,8693,71,"Dover, DE",110,3,,10,0.797,1.082,-0.57,0.908,high,0,
0468080,Somerton city,AZ,14383,19,"Yuma, AZ--CA",27,1,,8,0.788,0.351,2.549,0.41,high,0,
0463470,San Luis city,AZ,35998,19,"Yuma, AZ--CA",27,2,,10,0.668,0.162,3.145,0.002,medium,0,
0633084,Heber CDP,CA,7308,19,"Yuma, AZ--CA",27,3,,3,0.581,0.567,2.436,0.036,high,0,
0162328,Prattville city,AL,38850,1,"Montgomery, AL",34,1,,6,0.818,0.231,-0.579,0.524,high,0,
0148712,Millbrook city,AL,16923,1,"Montgomery, AL",34,2,,7,0.808,0.132,-0.287,0.397,high,0,Government Hub
0120008,Deatsville town,AL,2618,1,"Montgomery, AL",34,3,,4,0.732,0.411,-0.737,1.219,high,0,
4501450,Andrews town,SC,2558,452,"Myrtle Beach--North Myrtle Beach, SC--NC",65,1,,22,0.806,-0.264,0.057,0.189,high,1,
4570585,Surfside Beach town,SC,4217,452,"Myrtle Beach--North Myrtle Beach, SC--NC",65,2,,10,0.723,-0.02,1.008,-0.503,high,1,Amenity Destination; Aging Trap
4532560,Hartsville city,SC,7422,452,"Myrtle Beach--North Myrtle Beach, SC--NC",65,3,,19,0.678,-0.244,-0.367,-0.15,high,0,
0423620,Flagstaff city,AZ,76333,15,"Prescott--Prescott Valley, AZ",62,1,,3,0.628,0.728,-0.222,-1.189,high,0,Knowledge Center; Regional Service Center
0451810,Page city,AZ,7407,15,"Prescott--Prescott Valley, AZ",62,2,,50,0.614,-1.184,0.193,-1.457,high,0,
4939920,Kanab city,UT,4950,15,"Prescott--Prescott Valley, AZ",62,3,,45,0.313,-1.079,-0.004,-1.776,high,0,
4870040,Stanton city,TX,2658,476,"Odessa, TX",21,1,,7,0.85,-0.415,-0.767,-0.089,high,0,
4803216,Andrews city,TX,13416,476,"Odessa, TX",21,2,,2,0.84,-0.26,-0.285,0.105,high,0,
4853388,Odessa city,TX,114080,476,"Odessa, TX",21,3,,3,0.838,-0.268,-0.168,-0.002,high,0,
2212665,Carencro city,LA,10882,218,"Lafayette, LA",55,1,,15,0.769,-0.344,-0.73,0.067,high,0,
2240735,Lafayette city,LA,121537,218,"Lafayette, LA",55,2,,1,0.769,0.313,-0.445,0.392,high,0,
2210075,Broussard city,LA,13791,218,"Lafayette, LA",55,3,,9,0.752,-0.094,-0.891,0.866,high,0,
4845000,Lubbock city,TX,261078,485,"Lubbock, TX",30,1,,2,0.822,0.238,-0.67,0.411,high,0,
4867136,Shallowater city,TX,2935,485,"Lubbock, TX",30,2,,4,0.786,-0.156,-0.617,-0.048,high,0,
4879972,Wolfforth city,TX,6189,485,"Lubbock, TX",30,3,,5,0.745,-0.185,-0.623,0.351,high,0,
1335716,Grovetown city,GA,16516,99,"Augusta-Richmond County consolidated government (balance), GA",24,1,,3,0.598,0.297,-0.503,0.101,high,0,Military Anchor
1376280,Thomson city,GA,6824,99,"Augusta-Richmond County consolidated government (balance), GA",24,2,,10,0.592,-0.491,0.001,-0.79,high,0,
1328044,Evans CDP,GA,37718,99,"Augusta-Richmond County consolidated government (balance), GA",24,3,,2,0.568,0.478,-0.651,0.815,high,0,
3775820,Wrightsville Beach town,NC,2679,377,"Wilmington, NC",52,1,,1,0.908,1.126,0.849,-0.727,high,0,Amenity Destination; Aging Trap
3704950,Belville town,NC,3183,377,"Wilmington, NC",52,2,,21,0.706,0.123,-0.732,0.031,high,0,
3766040,Surf City town,NC,4160,377,"Wilmington, NC",52,3,,4,0.644,0.659,1.187,-0.683,high,0,Amenity Destination
5165392,Radford city,VA,16505,528,"Roanoke, VA",43,1,,7,0.85,0.615,-0.742,0.067,high,0,Knowledge Center; Regional Service Center
5107784,Blacksburg town,VA,45288,528,"Roanoke, VA",43,2,,1,0.826,1.709,-0.373,0.034,high,0,Knowledge Center; Regional Service Center
5116608,Christiansburg town,VA,22820,528,"Roanoke, VA",43,3,,9,0.698,0.581,-0.789,0.456,high,0,
2819180,D'Iberville city,MS,13033,285,"Gulfport--Biloxi, MS",34,1,,4,0.827,0.258,0.31,0.442,high,0,
2853520,Ocean Springs city,MS,18561,285,"Gulfport--Biloxi, MS",34,2,,3,0.826,0.361,-0.433,0.537,high,0,
2829620,Gulf Hills CDP,MS,8193,285,"Gulfport--Biloxi, MS",34,3,,6,0.742,0.208,-0.771,0.221,high,0,
1380508,Warner Robins city,GA,81438,96,"Warner Robins, GA",20,1,,3,0.826,0.187,-0.113,0.543,high,0,
1360340,Perry city,GA,22243,96,"Warner Robins, GA",20,2,,7,0.81,0.011,-0.608,0.284,high,0,
1312260,Byron city,GA,5839,96,"Warner Robins, GA",20,3,,2,0.799,0.439,-0.878,0.889,high,0,Government Hub
4775560,Tusculum city,TN,3304,467,"Johnson City, TN",50,1,,1,0.757,0.854,-0.923,0.544,medium,0,Knowledge Center
4738320,Johnson City city,TN,71455,467,"Johnson City, TN",50,2,,3,0.498,0.586,-0.654,-0.113,high,0,
